product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
21,3,2025-08-13,11,1,4.99,17:32:00
21,3,2025-08-13,25,2,4.99,18:23:00
21,3,2025-08-13,24,2,4.99,18:41:00
21,3,2025-08-13,6,2,4.99,18:18:00
21,3,2025-08-13,8,1,4.99,17:34:00
21,3,2025-08-13,2,1,4.99,12:20:00
21,3,2025-08-13,18,1,4.99,9:33:00
21,3,2025-08-13,24,3,4.99,13:05:00
21,3,2025-08-13,18,3,4.99,12:26:00
21,3,2025-08-13,4,2,4.99,12:46:00
21,3,2025-08-13,17,3,4.99,18:40:00
21,3,2025-08-13,13,2,4.99,18:06:00
21,3,2025-08-13,23,3,4.99,18:35:00
21,3,2025-08-13,3,3,4.99,18:56:00
21,3,2025-08-13,8,3,4.99,12:03:00
21,3,2025-08-13,1,2,4.99,11:43:00
21,3,2025-08-13,23,3,4.99,17:43:00
21,3,2025-08-13,13,3,4.99,18:22:00
21,3,2025-08-13,23,2,4.99,18:52:00
21,3,2025-08-13,11,2,4.99,17:07:00
21,3,2025-08-13,1,1,4.99,12:56:00
21,3,2025-08-13,3,1,4.99,11:02:00
21,3,2025-08-13,2,2,4.99,11:38:00
21,3,2025-08-13,23,1,4.99,18:56:00
21,3,2025-08-13,24,1,4.99,18:59:00
21,3,2025-08-13,2,1,4.99,10:42:00
21,3,2025-08-13,15,3,4.99,17:30:00
21,3,2025-08-13,5,2,4.99,9:08:00
21,3,2025-08-13,24,2,4.99,13:58:00
21,3,2025-08-13,24,1,4.99,9:37:00
21,3,2025-08-13,26,1,4.99,17:27:00
21,3,2025-08-13,19,1,4.99,11:40:00
21,3,2025-08-13,2,2,4.99,13:59:00
21,3,2025-08-13,25,1,4.99,12:21:00
21,3,2025-08-13,12,2,4.99,10:10:00
21,3,2025-08-13,12,1,4.99,10:39:00
21,3,2025-08-13,3,3,4.99,11:59:00
21,3,2025-08-13,25,1,4.99,18:18:00
21,3,2025-08-13,21,3,4.99,17:05:00
21,3,2025-08-13,11,1,4.99,17:39:00
21,3,2025-08-13,10,3,4.99,18:01:00
21,3,2025-08-13,18,1,4.99,17:19:00
21,3,2025-08-13,11,2,4.99,17:10:00
22,3,2025-08-13,22,2.5,6.49,18:36:00
22,3,2025-08-13,18,0.81,6.49,18:53:00
22,3,2025-08-13,10,2.35,6.49,17:44:00
22,3,2025-08-13,13,3.37,6.49,13:28:00
22,3,2025-08-13,10,0.82,6.49,18:18:00
22,3,2025-08-13,3,2.87,6.49,8:35:00
22,3,2025-08-13,1,0.27,6.49,8:47:00
22,3,2025-08-13,1,2.87,6.49,11:00:00
22,3,2025-08-13,17,2.38,6.49,18:56:00
22,3,2025-08-13,5,0.31,6.49,18:28:00
22,3,2025-08-13,7,3.45,6.49,10:00:00
22,3,2025-08-13,17,0.07,6.49,9:57:00
22,3,2025-08-13,20,0.57,6.49,9:12:00
22,3,2025-08-13,2,4.05,6.49,18:33:00
22,3,2025-08-13,4,0.76,6.49,16:30:00
22,3,2025-08-13,10,3.77,6.49,17:57:00
22,3,2025-08-13,19,4.11,6.49,13:33:00
22,3,2025-08-13,17,2.84,6.49,8:35:00
22,3,2025-08-13,18,0,6.49,8:49:00
22,3,2025-08-13,2,1.42,6.49,9:09:00
10,1,2025-08-13,9,3,4.5,18:37:00
10,1,2025-08-13,5,5,4.5,17:37:00
10,1,2025-08-13,3,6,4.5,17:52:00
